ts_epoch_ms,label,rodada,janela,mean_ax,mean_ay,mean_az,std_ax,std_ay,std_az,std_mag,p2p_mag
1749760132000,operando,2,13,0.12,0.095,0.988,0.092,0.072,0.039,0.041,0.188
1749760133000,operando,2,14,-0.076,0.028,0.997,0.066,0.099,0.03,0.031,0.139
1749760134000,operando,2,15,0.125,0.062,0.99,0.039,0.093,0.092,0.091,0.459
1749760135000,operando,2,16,-0.075,-0.011,0.997,0.034,0.072,0.051,0.051,0.261
1749760136000,operando,2,17,-0.124,-0.009,0.992,0.072,0.046,0.091,0.091,0.432
1749760137000,operando,2,18,-0.059,-0.076,0.995,0.058,0.077,0.081,0.081,0.409
1749760138000,operando,2,19,-0.009,-0.087,0.996,0.059,0.066,0.031,0.031,0.166
1749760139000,operando,2,20,0.018,-0.035,0.999,0.037,0.092,0.058,0.058,0.299
1749760140000,operando,2,21,0.019,-0.079,0.997,0.042,0.044,0.09,0.09,0.487
1749760141000,operando,2,22,-0.081,-0.147,0.986,0.081,0.091,0.057,0.058,0.29
1749760142000,operando,2,23,0.085,-0.186,0.979,0.085,0.07,0.037,0.039,0.213
1749760143000,operando,2,24,-0.053,-0.062,0.997,0.037,0.044,0.082,0.082,0.37
1749760144000,operando,2,25,0.133,0.002,0.991,0.08,0.092,0.058,0.058,0.28
1749760145000,operando,2,26,0.22,0.059,0.974,0.059,0.072,0.095,0.094,0.467
1749760146000,operando,2,27,0.063,0.002,0.998,0.058,0.039,0.041,0.041,0.215
1749760147000,operando,2,28,-0.135,0.047,0.99,0.047,0.037,0.083,0.082,0.442
1749760148000,operando,2,29,-0.048,0.058,0.997,0.043,0.067,0.063,0.063,0.299
1749760149000,operando,2,30,0.019,-0.07,0.997,0.097,0.076,0.065,0.065,0.299
1749760150000,inclinado_frente,2,1,0.422,-0.015,0.907,0.084,0.091,0.093,0.091,0.502
1749760151000,inclinado_frente,2,2,0.351,-0.082,0.933,0.035,0.04,0.051,0.05,0.25
1749760152000,inclinado_frente,2,3,0.259,-0.119,0.959,0.073,0.068,0.042,0.045,0.213
1749760153000,inclinado_frente,2,4,0.403,0.073,0.913,0.071,0.081,0.051,0.055,0.266
1749760154000,inclinado_frente,2,5,0.447,0.007,0.894,0.084,0.044,0.096,0.094,0.433
1749760155000,inclinado_frente,2,6,0.408,-0.089,0.909,0.049,0.089,0.043,0.044,0.217
1749760156000,inclinado_frente,2,7,0.457,-0.043,0.888,0.08,0.09,0.091,0.089,0.43
1749760157000,inclinado_frente,2,8,0.456,0.095,0.886,0.047,0.041,0.096,0.088,0.472
1749760158000,inclinado_frente,2,9,0.386,-0.012,0.922,0.064,0.067,0.068,0.067,0.331
1749760159000,inclinado_frente,2,10,0.427,0.0,0.904,0.097,0.064,0.097,0.097,0.451
1749760160000,inclinado_frente,2,11,0.46,-0.08,0.885,0.048,0.032,0.038,0.04,0.219
1749760161000,inclinado_frente,2,12,0.478,0.034,0.878,0.063,0.058,0.067,0.066,0.31
1749760162000,inclinado_frente,2,13,0.23,0.027,0.973,0.082,0.063,0.041,0.044,0.238
1749760163000,inclinado_frente,2,14,0.348,-0.05,0.936,0.054,0.086,0.074,0.072,0.376
1749760164000,inclinado_frente,2,15,0.448,0.113,0.888,0.095,0.061,0.075,0.079,0.356
1749760165000,inclinado_frente,2,16,0.334,-0.018,0.942,0.034,0.062,0.039,0.039,0.179
1749760166000,inclinado_frente,2,17,0.416,0.016,0.909,0.095,0.052,0.081,0.083,0.414
1749760167000,inclinado_frente,2,18,0.396,-0.099,0.914,0.063,0.097,0.054,0.056,0.262
1749760168000,inclinado_frente,2,19,0.469,0.026,0.883,0.033,0.061,0.092,0.083,0.436
1749760169000,inclinado_frente,2,20,0.46,-0.021,0.887,0.076,0.051,0.096,0.092,0.45
1749760170000,inclinado_frente,2,21,0.504,-0.008,0.864,0.069,0.08,0.066,0.067,0.36
1749760171000,inclinado_frente,2,22,0.474,-0.004,0.881,0.054,0.059,0.061,0.059,0.274
1749760172000,inclinado_frente,2,23,0.444,0.047,0.895,0.076,0.076,0.031,0.044,0.212
1749760173000,inclinado_frente,2,24,0.512,-0.035,0.859,0.09,0.047,0.077,0.08,0.373
1749760174000,inclinado_frente,2,25,0.405,-0.024,0.914,0.05,0.077,0.094,0.088,0.414
1749760175000,inclinado_frente,2,26,0.461,-0.147,0.878,0.097,0.073,0.048,0.062,0.318
1749760176000,inclinado_frente,2,27,0.488,0.083,0.87,0.058,0.078,0.032,0.04,0.196
1749760177000,inclinado_frente,2,28,0.423,0.069,0.904,0.061,0.096,0.09,0.085,0.412
1749760178000,inclinado_frente,2,29,0.483,0.049,0.874,0.074,0.053,0.047,0.055,0.296
1749760179000,inclinado_frente,2,30,0.457,-0.067,0.888,0.098,0.082,0.084,0.087,0.457
1749760180000,inclinado_tras,2,1,-0.263,-0.096,0.96,0.047,0.075,0.05,0.05,0.239
1749760181000,inclinado_tras,2,2,-0.394,-0.011,0.919,0.045,0.087,0.09,0.085,0.396
1749760182000,inclinado_tras,2,3,-0.426,-0.075,0.902,0.086,0.089,0.04,0.052,0.272
1749760183000,inclinado_tras,2,4,-0.492,-0.016,0.871,0.1,0.043,0.041,0.061,0.298
1749760184000,inclinado_tras,2,5,-0.238,-0.041,0.97,0.099,0.035,0.04,0.045,0.239
1749760185000,inclinado_tras,2,6,-0.419,0.008,0.908,0.076,0.038,0.088,0.086,0.404
1749760186000,inclinado_tras,2,7,-0.44,-0.042,0.897,0.065,0.078,0.076,0.074,0.405
1749760187000,inclinado_tras,2,8,-0.344,0.11,0.933,0.081,0.098,0.052,0.057,0.284
1749760188000,inclinado_tras,2,9,-0.383,0.042,0.923,0.077,0.055,0.085,0.084,0.448
1749760189000,inclinado_tras,2,10,-0.472,0.091,0.878,0.053,0.082,0.086,0.08,0.398
1749760190000,inclinado_tras,2,11,-0.438,0.007,0.899,0.092,0.037,0.041,0.054,0.273
1749760191000,inclinado_tras,2,12,-0.484,0.031,0.875,0.03,0.061,0.084,0.075,0.341
1749760192000,inclinado_tras,2,13,-0.44,0.123,0.891,0.042,0.04,0.09,0.083,0.439
1749760193000,inclinado_tras,2,14,-0.439,-0.048,0.897,0.036,0.058,0.082,0.075,0.357
1749760194000,inclinado_tras,2,15,-0.42,-0.006,0.907,0.083,0.063,0.056,0.061,0.289
1749760195000,inclinado_tras,2,16,-0.457,0.001,0.89,0.038,0.036,0.042,0.042,0.194
1749760196000,inclinado_tras,2,17,-0.356,0.013,0.934,0.099,0.04,0.076,0.079,0.392
1749760197000,inclinado_tras,2,18,-0.416,0.0,0.91,0.098,0.091,0.043,0.057,0.268
1749760198000,inclinado_tras,2,19,-0.445,-0.018,0.895,0.081,0.07,0.069,0.071,0.38
1749760199000,inclinado_tras,2,20,-0.306,-0.029,0.952,0.033,0.072,0.064,0.062,0.294
1749760200000,inclinado_tras,2,21,-0.485,-0.006,0.875,0.088,0.069,0.057,0.066,0.313
1749760201000,inclinado_tras,2,22,-0.396,-0.092,0.914,0.069,0.077,0.035,0.043,0.191
1749760202000,inclinado_tras,2,23,-0.508,-0.022,0.861,0.075,0.042,0.092,0.088,0.438
1749760203000,inclinado_tras,2,24,-0.358,-0.018,0.934,0.034,0.045,0.071,0.067,0.317
1749760204000,inclinado_tras,2,25,-0.48,0.103,0.872,0.037,0.044,0.06,0.055,0.257
1749760205000,inclinado_tras,2,26,-0.429,-0.045,0.902,0.052,0.055,0.034,0.038,0.185
1749760206000,inclinado_tras,2,27,-0.404,0.062,0.913,0.044,0.092,0.095,0.089,0.408
1749760207000,inclinado_tras,2,28,-0.508,-0.126,0.855,0.073,0.039,0.09,0.085,0.448
1749760208000,inclinado_tras,2,29,-0.339,0.029,0.94,0.1,0.033,0.058,0.064,0.31
1749760209000,inclinado_tras,2,30,-0.459,0.039,0.888,0.086,0.042,0.099,0.096,0.48
1749760210000,anomalia,2,1,0.006,0.023,1.0,0.592,0.364,0.461,0.461,3.03
1749760211000,anomalia,2,2,0.108,0.089,0.99,0.595,0.479,0.504,0.505,3.686
1749760212000,anomalia,2,3,0.005,-0.029,1.0,0.766,0.496,0.465,0.465,3.417
1749760213000,anomalia,2,4,0.106,-0.056,0.993,0.629,0.577,0.46,0.463,3.258
1749760214000,anomalia,2,5,-0.003,0.121,0.993,0.383,0.662,0.495,0.497,3.305
1749760215000,anomalia,2,6,-0.031,-0.003,1.0,0.429,0.713,0.764,0.763,5.949
1749760216000,anomalia,2,7,0.041,0.107,0.993,0.773,0.496,0.762,0.759,5.876
1749760217000,anomalia,2,8,0.002,-0.042,0.999,0.64,0.581,0.313,0.314,2.584
1749760218000,anomalia,2,9,-0.151,-0.14,0.979,0.533,0.303,0.693,0.685,4.786
1749760219000,anomalia,2,10,-0.002,0.139,0.99,0.583,0.435,0.38,0.381,3.175
1749760220000,anomalia,2,11,-0.148,0.018,0.989,0.783,0.782,0.728,0.729,4.785
1749760221000,anomalia,2,12,-0.067,0.004,0.998,0.487,0.351,0.705,0.705,5.246
1749760222000,anomalia,2,13,-0.018,-0.172,0.985,0.604,0.512,0.485,0.486,3.524
1749760223000,anomalia,2,14,-0.082,0.056,0.995,0.719,0.442,0.452,0.454,3.917
1749760224000,anomalia,2,15,-0.014,0.026,1.0,0.532,0.645,0.382,0.382,3.058
1749760225000,anomalia,2,16,-0.002,-0.109,0.994,0.32,0.531,0.561,0.561,3.725
1749760226000,anomalia,2,17,-0.009,0.052,0.999,0.472,0.348,0.774,0.773,5.576
1749760227000,anomalia,2,18,0.029,0.129,0.991,0.34,0.626,0.736,0.734,5.799
1749760228000,anomalia,2,19,-0.056,0.03,0.998,0.318,0.567,0.797,0.796,7.061
1749760229000,anomalia,2,20,0.023,-0.051,0.998,0.451,0.751,0.323,0.324,2.858
1749760230000,anomalia,2,21,-0.09,0.025,0.996,0.717,0.378,0.567,0.569,4.975
1749760231000,anomalia,2,22,-0.029,-0.018,0.999,0.523,0.332,0.784,0.784,5.435
1749760232000,anomalia,2,23,-0.027,0.026,0.999,0.782,0.347,0.734,0.733,5.959
1749760233000,anomalia,2,24,-0.106,0.058,0.993,0.721,0.772,0.363,0.371,3.116
1749760234000,anomalia,2,25,0.039,0.012,0.999,0.749,0.786,0.652,0.653,4.861
1749760235000,anomalia,2,26,-0.022,-0.011,1.0,0.481,0.496,0.345,0.345,2.15
1749760236000,anomalia,2,27,0.023,-0.064,0.998,0.765,0.606,0.318,0.32,2.069
1749760237000,anomalia,2,28,-0.13,0.13,0.983,0.409,0.558,0.768,0.76,6.791
1749760238000,anomalia,2,29,0.082,-0.023,0.996,0.377,0.332,0.398,0.397,3.062
1749760239000,anomalia,2,30,0.018,0.045,0.999,0.613,0.401,0.7,0.7,5.496
1749760240000,operando,3,1,-0.109,0.088,0.99,0.054,0.036,0.046,0.046,0.226
1749760241000,operando,3,2,0.068,0.002,0.998,0.084,0.068,0.043,0.043,0.208
1749760242000,operando,3,3,0.013,-0.064,0.998,0.06,0.046,0.081,0.08,0.375
1749760243000,operando,3,4,-0.019,-0.065,0.998,0.038,0.065,0.066,0.066,0.332
1749760244000,operando,3,5,-0.031,-0.205,0.978,0.064,0.063,0.06,0.06,0.273
1749760245000,operando,3,6,-0.097,0.1,0.99,0.075,0.034,0.099,0.098,0.487
1749760246000,operando,3,7,-0.021,-0.041,0.999,0.034,0.088,0.075,0.075,0.398
1749760247000,operando,3,8,0.102,-0.008,0.995,0.09,0.074,0.054,0.055,0.283
1749760248000,operando,3,9,0.067,-0.051,0.996,0.056,0.06,0.087,0.087,0.434
1749760249000,operando,3,10,-0.09,-0.095,0.991,0.045,0.082,0.039,0.04,0.187
1749760250000,operando,3,11,-0.001,-0.157,0.988,0.093,0.049,0.038,0.038,0.208
1749760251000,operando,3,12,-0.027,0.119,0.993,0.05,0.067,0.092,0.091,0.481
1749760252000,operando,3,13,0.054,-0.056,0.997,0.055,0.063,0.04,0.04,0.193
1749760253000,operando,3,14,-0.043,-0.002,0.999,0.069,0.079,0.035,0.035,0.174
1749760254000,operando,3,15,0.023,-0.08,0.997,0.087,0.061,0.087,0.087,0.414
1749760255000,operando,3,16,0.092,0.023,0.995,0.063,0.057,0.047,0.047,0.247
1749760256000,operando,3,17,0.139,0.009,0.99,0.039,0.061,0.051,0.051,0.248
1749760257000,operando,3,18,-0.117,0.015,0.993,0.095,0.065,0.075,0.075,0.404
1749760258000,operando,3,19,-0.088,-0.191,0.978,0.092,0.094,0.085,0.086,0.425
1749760259000,operando,3,20,0.084,-0.012,0.996,0.063,0.065,0.059,0.059,0.297
1749760260000,operando,3,21,0.068,-0.081,0.994,0.038,0.046,0.086,0.085,0.455
1749760261000,operando,3,22,-0.065,0.106,0.992,0.092,0.052,0.058,0.058,0.278
1749760262000,operando,3,23,0.095,-0.017,0.995,0.054,0.069,0.051,0.051,0.237
1749760263000,operando,3,24,-0.109,-0.051,0.993,0.096,0.058,0.088,0.088,0.458
1749760264000,operando,3,25,-0.051,0.054,0.997,0.087,0.049,0.094,0.094,0.435
1749760265000,operando,3,26,-0.057,-0.08,0.995,0.046,0.049,0.098,0.097,0.463
1749760266000,operando,3,27,0.051,-0.111,0.993,0.048,0.084,0.084,0.084,0.41
1749760267000,operando,3,28,-0.101,-0.088,0.991,0.03,0.07,0.1,0.099,0.449
1749760268000,operando,3,29,0.083,-0.011,0.996,0.087,0.036,0.058,0.058,0.304
1749760269000,operando,3,30,-0.163,0.066,0.985,0.044,0.059,0.064,0.063,0.338
1749760270000,inclinado_frente,3,1,0.412,-0.051,0.91,0.099,0.059,0.058,0.067,0.363
1749760271000,inclinado_frente,3,2,0.52,-0.074,0.852,0.083,0.037,0.063,0.069,0.323
1749760272000,inclinado_frente,3,3,0.403,0.095,0.911,0.05,0.086,0.094,0.088,0.466
1749760273000,inclinado_frente,3,4,0.441,-0.018,0.897,0.048,0.039,0.096,0.089,0.435
1749760274000,inclinado_frente,3,5,0.597,-0.124,0.796,0.058,0.032,0.041,0.048,0.246
1749760275000,inclinado_frente,3,6,0.47,0.082,0.88,0.094,0.09,0.089,0.09,0.428
1749760276000,inclinado_frente,3,7,0.446,0.075,0.892,0.051,0.073,0.083,0.078,0.36
1749760277000,inclinado_frente,3,8,0.44,0.076,0.895,0.081,0.061,0.091,0.089,0.449
1749760278000,inclinado_frente,3,9,0.327,0.035,0.944,0.082,0.05,0.038,0.045,0.214
1749760279000,inclinado_frente,3,10,0.426,-0.008,0.905,0.071,0.058,0.085,0.083,0.448
1749760280000,inclinado_frente,3,11,0.501,0.037,0.865,0.077,0.067,0.043,0.054,0.286
1749760281000,inclinado_frente,3,12,0.308,0.052,0.95,0.094,0.099,0.055,0.06,0.307
1749760282000,inclinado_frente,3,13,0.533,0.083,0.843,0.037,0.059,0.091,0.079,0.38
1749760283000,inclinado_frente,3,14,0.378,-0.006,0.926,0.099,0.092,0.051,0.06,0.317
