ts_epoch_ms,label,mean_ax,mean_ay,mean_az,std_ax,std_ay,std_az,rms_ax,rms_ay,rms_az,rms_mag
1749760070000,ligado_normal,0.027,0.006,1.0,0.025,0.017,0.02,0.036,0.018,1.0,1.001
1749760071000,ligado_normal,-0.052,0.052,0.997,0.008,0.007,0.021,0.052,0.052,0.998,1.0
1749760072000,ligado_normal,0.074,-0.05,0.996,0.022,0.013,0.027,0.077,0.052,0.996,1.001
1749760073000,ligado_normal,0.02,0.024,1.0,0.014,0.013,0.009,0.025,0.027,1.0,1.0
1749760074000,ligado_normal,0.033,0.087,0.996,0.016,0.015,0.023,0.037,0.088,0.996,1.001
1749760075000,ligado_normal,-0.065,-0.072,0.995,0.025,0.017,0.014,0.069,0.074,0.995,1.001
1749760076000,ligado_normal,0.116,0.075,0.991,0.029,0.008,0.026,0.119,0.075,0.991,1.001
1749760077000,ligado_normal,-0.018,-0.174,0.985,0.02,0.022,0.005,0.027,0.175,0.985,1.0
1749760078000,ligado_normal,0.114,-0.139,0.984,0.012,0.016,0.016,0.115,0.14,0.984,1.0
1749760079000,ligado_normal,0.038,0.046,0.998,0.025,0.008,0.03,0.046,0.046,0.999,1.001
1749760080000,ligado_normal,0.005,-0.041,0.999,0.026,0.008,0.03,0.026,0.042,1.0,1.001
1749760081000,ligado_normal,-0.058,0.012,0.998,0.007,0.027,0.006,0.058,0.03,0.998,1.0
1749760082000,ligado_normal,-0.061,-0.016,0.998,0.024,0.01,0.028,0.066,0.019,0.998,1.001
1749760083000,ligado_normal,0.045,-0.023,0.999,0.005,0.006,0.02,0.046,0.024,0.999,1.0
1749760084000,ligado_normal,-0.113,-0.129,0.985,0.026,0.006,0.025,0.116,0.129,0.986,1.001
1749760085000,ligado_normal,-0.025,0.017,1.0,0.022,0.026,0.006,0.033,0.031,1.0,1.001
1749760086000,ligado_normal,-0.067,0.118,0.991,0.021,0.026,0.009,0.07,0.121,0.991,1.001
1749760087000,ligado_normal,-0.129,-0.077,0.989,0.012,0.023,0.03,0.129,0.081,0.989,1.001
1749760088000,ligado_normal,-0.12,0.034,0.992,0.02,0.006,0.027,0.122,0.035,0.993,1.001
1749760089000,ligado_normal,-0.159,0.081,0.984,0.007,0.01,0.03,0.159,0.081,0.984,1.001
1749760090000,ligado_anomalia,-0.057,0.037,0.998,0.855,0.794,0.388,0.856,0.795,1.07,1.585
1749760091000,ligado_anomalia,0.115,-0.03,0.993,0.799,0.915,0.867,0.807,0.915,1.318,1.796
1749760092000,ligado_anomalia,0.097,0.033,0.995,0.733,0.634,0.7,0.739,0.635,1.217,1.559
1749760093000,ligado_anomalia,0.18,0.006,0.984,0.514,0.539,0.657,0.545,0.54,1.183,1.409
1749760094000,ligado_anomalia,0.029,-0.002,1.0,0.641,0.638,0.457,0.642,0.638,1.099,1.424
1749760095000,ligado_anomalia,-0.18,-0.097,0.979,0.284,0.647,0.7,0.336,0.655,1.204,1.411
1749760096000,ligado_anomalia,0.096,-0.084,0.992,0.787,0.917,0.866,0.793,0.921,1.316,1.792
1749760097000,ligado_anomalia,0.016,0.054,0.998,0.998,0.772,0.66,0.998,0.774,1.197,1.74
1749760098000,ligado_anomalia,0.001,0.225,0.974,0.737,0.95,1.092,0.737,0.976,1.464,1.907
1749760099000,ligado_anomalia,0.051,-0.005,0.999,0.744,1.01,0.549,0.746,1.01,1.14,1.696
1749760100000,ligado_anomalia,-0.074,0.058,0.996,1.05,0.303,0.517,1.053,0.308,1.122,1.569
1749760101000,ligado_anomalia,0.04,-0.027,0.999,0.548,0.956,0.264,0.55,0.956,1.033,1.511
1749760102000,ligado_anomalia,-0.173,-0.13,0.977,0.604,0.396,0.821,0.628,0.417,1.276,1.482
1749760103000,ligado_anomalia,-0.131,-0.256,0.958,1.161,1.196,0.983,1.168,1.223,1.373,2.178
1749760104000,ligado_anomalia,-0.049,0.041,0.998,0.92,0.618,0.859,0.921,0.62,1.317,1.722
1749760105000,ligado_anomalia,-0.008,0.069,0.998,0.749,0.406,0.408,0.749,0.411,1.078,1.375
1749760106000,ligado_anomalia,0.078,0.142,0.987,0.778,1.047,1.191,0.782,1.057,1.547,2.03
1749760107000,ligado_anomalia,-0.017,0.122,0.992,0.623,0.326,0.968,0.623,0.348,1.386,1.559
1749760108000,ligado_anomalia,0.023,0.136,0.99,0.393,0.422,1.112,0.394,0.443,1.489,1.603
1749760109000,ligado_anomalia,0.039,-0.136,0.99,0.527,0.716,0.807,0.529,0.729,1.277,1.563
1749760110000,ligado_anomalia,-0.207,-0.069,0.976,0.481,1.051,0.856,0.524,1.054,1.298,1.752
1749760111000,ligado_anomalia,-0.016,-0.022,1.0,0.975,0.305,0.598,0.975,0.306,1.165,1.55
1749760112000,ligado_anomalia,0.062,0.058,0.996,1.052,0.708,0.98,1.054,0.711,1.398,1.889
1749760113000,ligado_anomalia,0.177,-0.008,0.984,1.114,0.808,1.058,1.128,0.808,1.445,2.003
1749760114000,ligado_anomalia,-0.108,-0.077,0.991,0.629,1.121,0.849,0.638,1.124,1.305,1.837
1749760115000,ligado_anomalia,-0.067,0.078,0.995,0.432,0.274,1.131,0.437,0.285,1.506,1.594
1749760116000,ligado_anomalia,0.048,0.016,0.999,0.819,0.257,0.514,0.82,0.257,1.123,1.414
1749760117000,ligado_anomalia,-0.078,0.017,0.997,1.183,0.839,0.704,1.185,0.84,1.22,1.897
1749760118000,ligado_anomalia,-0.022,0.032,0.999,0.935,1.165,0.993,0.935,1.165,1.409,2.053
1749760119000,ligado_anomalia,-0.093,0.062,0.994,0.946,0.668,0.775,0.95,0.671,1.26,1.715
1749760120000,ligado_anomalia,0.021,0.14,0.99,1.185,0.524,0.947,1.186,0.542,1.37,1.891
1749760121000,ligado_anomalia,-0.144,-0.112,0.983,0.988,0.715,1.186,0.999,0.724,1.541,1.974
1749760122000,ligado_anomalia,0.021,-0.154,0.988,0.641,1.004,0.331,0.641,1.016,1.042,1.59
1749760123000,ligado_anomalia,-0.055,-0.056,0.997,1.128,1.031,0.285,1.13,1.033,1.037,1.849
1749760124000,ligado_anomalia,-0.147,0.047,0.988,0.354,0.892,0.928,0.383,0.893,1.355,1.667
1749760125000,ligado_anomalia,0.039,-0.07,0.997,0.952,1.011,0.297,0.953,1.013,1.04,1.737
1749760126000,ligado_anomalia,-0.054,0.126,0.991,1.065,0.254,0.739,1.067,0.284,1.236,1.657
1749760127000,ligado_anomalia,-0.054,0.041,0.998,0.631,1.101,0.888,0.634,1.102,1.336,1.844
1749760128000,ligado_anomalia,-0.091,-0.209,0.974,0.581,1.061,0.534,0.588,1.081,1.111,1.658
1749760129000,ligado_anomalia,-0.168,-0.027,0.985,0.511,1.092,0.428,0.538,1.093,1.074,1.624
1749760130000,ligado_anomalia,0.051,0.046,0.998,0.932,1.017,1.199,0.933,1.018,1.56,2.083
1749760131000,ligado_anomalia,0.015,-0.029,0.999,0.38,0.796,1.198,0.38,0.797,1.56,1.792
1749760132000,ligado_anomalia,-0.111,-0.15,0.983,0.623,1.12,0.722,0.633,1.13,1.219,1.778
1749760133000,ligado_anomalia,-0.015,0.145,0.989,0.314,0.442,0.267,0.314,0.465,1.025,1.168
1749760134000,ligado_anomalia,-0.076,0.015,0.997,0.576,0.649,1.161,0.581,0.65,1.531,1.761
1749760135000,ligado_anomalia,-0.002,-0.079,0.997,0.52,1.102,0.473,0.52,1.105,1.104,1.646
1749760136000,ligado_anomalia,-0.141,0.042,0.989,0.753,0.955,0.811,0.766,0.956,1.279,1.771
1749760137000,ligado_anomalia,0.024,-0.062,0.998,0.479,0.556,0.398,0.48,0.56,1.074,1.303
1749760138000,ligado_anomalia,0.206,0.037,0.978,1.002,0.995,0.666,1.023,0.995,1.183,1.854
1749760139000,ligado_anomalia,0.055,0.109,0.993,0.891,1.024,1.107,0.893,1.03,1.487,2.017
1749760140000,ligado_anomalia,-0.038,-0.042,0.998,0.784,0.347,0.87,0.785,0.349,1.324,1.579
1749760141000,ligado_anomalia,-0.037,0.027,0.999,0.661,0.284,1.162,0.662,0.285,1.532,1.693
1749760142000,ligado_anomalia,-0.072,-0.068,0.995,0.484,0.312,0.682,0.489,0.32,1.207,1.341
1749760143000,ligado_anomalia,-0.018,0.097,0.995,0.298,0.356,0.615,0.299,0.369,1.17,1.263
1749760144000,ligado_anomalia,0.091,-0.085,0.992,0.447,0.537,0.624,0.456,0.544,1.172,1.37
1749760145000,ligado_anomalia,0.056,-0.001,0.998,0.356,1.07,0.251,0.361,1.07,1.03,1.528
1749760146000,ligado_anomalia,-0.018,-0.106,0.994,0.566,0.66,0.992,0.567,0.668,1.404,1.655
1749760147000,ligado_anomalia,-0.089,-0.008,0.996,0.556,0.48,0.706,0.563,0.48,1.221,1.428
1749760148000,ligado_anomalia,-0.08,0.127,0.989,0.564,1.134,0.296,0.57,1.141,1.032,1.641
1749760149000,ligado_anomalia,-0.098,0.039,0.994,0.393,0.295,0.381,0.405,0.298,1.065,1.178
1749760150000,ligado_anomalia,0.024,0.014,1.0,0.429,0.28,0.355,0.43,0.28,1.061,1.178
1749760151000,ligado_anomalia,-0.195,0.087,0.977,0.791,0.811,1.057,0.814,0.815,1.439,1.844
1749760152000,ligado_anomalia,0.009,0.081,0.997,0.838,0.405,0.984,0.838,0.413,1.401,1.684
1749760153000,ligado_anomalia,-0.078,0.001,0.997,1.123,0.682,0.823,1.126,0.682,1.293,1.845
1749760154000,ligado_anomalia,0.155,0.099,0.983,1.023,0.552,1.009,1.034,0.561,1.409,1.836
1749760155000,ligado_anomalia,0.039,0.109,0.993,0.643,0.552,0.324,0.644,0.562,1.045,1.35
1749760156000,ligado_anomalia,0.03,-0.155,0.987,0.268,0.407,0.939,0.27,0.436,1.363,1.456
1749760157000,ligado_anomalia,0.146,0.15,0.978,0.551,1.096,0.814,0.57,1.106,1.273,1.78
1749760158000,ligado_anomalia,0.001,0.018,1.0,0.908,0.414,0.732,0.908,0.415,1.239,1.591
1749760159000,ligado_anomalia,-0.113,-0.004,0.994,0.266,1.193,0.805,0.289,1.193,1.279,1.773
1749760160000,ligado_anomalia,0.001,0.022,1.0,1.086,0.759,0.841,1.086,0.76,1.306,1.861
1749760161000,ligado_anomalia,-0.013,-0.065,0.998,0.815,0.53,0.88,0.815,0.534,1.331,1.649
1749760162000,ligado_anomalia,-0.155,-0.011,0.988,0.816,0.47,1.08,0.831,0.47,1.464,1.747
1749760163000,ligado_anomalia,0.003,-0.074,0.997,0.776,0.626,0.894,0.776,0.631,1.339,1.671
1749760164000,ligado_anomalia,0.112,0.096,0.989,0.971,1.184,0.648,0.977,1.188,1.183,1.94
1749760165000,ligado_anomalia,0.019,-0.018,1.0,1.006,0.744,0.638,1.006,0.744,1.186,1.724
1749760166000,ligado_anomalia,-0.055,0.027,0.998,0.625,0.898,0.392,0.628,0.899,1.072,1.534
1749760167000,ligado_anomalia,-0.099,-0.042,0.994,0.44,1.066,1.117,0.451,1.067,1.495,1.891
1749760168000,ligado_anomalia,-0.101,-0.184,0.978,0.947,1.084,0.61,0.952,1.1,1.153,1.856
1749760169000,ligado_anomalia,-0.01,0.106,0.994,0.945,0.994,0.791,0.945,0.999,1.271,1.873
1749760170000,ligado_anomalia,-0.098,-0.033,0.995,1.072,1.008,0.345,1.077,1.009,1.053,1.813
1749760171000,ligado_anomalia,0.124,0.16,0.98,0.272,1.18,0.608,0.299,1.191,1.153,1.684
1749760172000,ligado_anomalia,0.152,-0.008,0.988,0.625,0.553,0.828,0.643,0.553,1.289,1.544
1749760173000,ligado_anomalia,0.074,-0.062,0.995,0.822,1.139,0.694,0.825,1.14,1.214,1.858
1749760174000,ligado_anomalia,0.079,0.003,0.997,0.624,0.375,0.405,0.629,0.375,1.076,1.302
1749760175000,ligado_anomalia,0.037,-0.168,0.985,1.157,0.481,0.344,1.158,0.51,1.043,1.64
1749760176000,ligado_anomalia,-0.005,0.007,1.0,0.514,0.442,0.426,0.514,0.442,1.087,1.281
1749760177000,ligado_anomalia,-0.036,-0.051,0.998,0.496,0.293,0.707,0.498,0.297,1.223,1.354
1749760178000,ligado_anomalia,0.063,0.005,0.998,0.721,0.355,0.49,0.723,0.355,1.112,1.373
1749760179000,ligado_anomalia,-0.019,-0.009,1.0,1.083,1.107,1.185,1.083,1.107,1.551,2.191
